X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8852191.06462623,5418488.70994941,109,GO-2005985817,2005/08/13 04:00:00+00,2005,August,13,Saturday,225,D23,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),-79.5205853127213,43.695813811993
-8835948.99142773,5414067.046624,110,GO-20051156816,2005/08/15 04:00:00+00,2005,August,15,Monday,227,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.3746802866043,43.6670883302434
-8831526.6506636,5422016.79657643,111,GO-20051072514,2005/08/16 04:00:00+00,2005,August,16,Tuesday,228,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.334953724084,43.7187242780683
-8823919.97868462,5428086.16098271,112,GO-2005117846,2005/08/18 04:00:00+00,2005,August,18,Thursday,230,D41,Other,156,Bendale-Glen Andrew,127,Bendale (127),-79.2666218269099,43.7581166432272
-8850812.99801433,5404007.45461154,113,GO-20051183577,2005/08/20 04:00:00+00,2005,August,20,Saturday,232,D22,Other,18,New Toronto,18,New Toronto (18),-79.5082059302831,43.6016846214227
-8818792.22367318,5425730.22101725,114,GO-20051189864,2005/08/25 04:00:00+00,2005,August,25,Thursday,237,D42,Shooting,139,Scarborough Village,139,Scarborough Village (139),-79.2205584203195,43.7428288201104
-8850959.51650547,5425158.9059413,115,GO-2005761120,2005/08/30 04:00:00+00,2005,August,30,Tuesday,242,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5095221282586,43.7391209368936
-8835441.22694006,5412384.89069879,116,GO-20051178414,2005/08/31 04:00:00+00,2005,August,31,Wednesday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.3701189610184,43.6561565368618
-8832494.98640872,5425335.61758623,117,GO-20051389771,2005/09/06 04:00:00+00,2005,September,6,Tuesday,249,D33,Stabbing,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3436524322575,43.7402678354739
-8849968.98454444,5419869.08067479,118,GO-20051101797,2005/09/08 04:00:00+00,2005,September,8,Thursday,251,D31,Shooting,28,Rustic,28,Rustic (28),-79.5006240279656,43.7047786194893
-8838680.17116314,5409168.03615845,119,GO-2005739598,2005/09/09 04:00:00+00,2005,September,9,Friday,252,D14,Shooting,163,Fort York-Liberty Village,82,Niagara (82),-79.3992148916504,43.6352456859924
-8851543.00997293,5429487.0350597,120,GO-20051096519,2005/09/10 04:00:00+00,2005,September,10,Saturday,253,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
-8851718.53464983,5427125.99777728,121,GO-20051203047,2005/09/13 04:00:00+00,2005,September,13,Tuesday,256,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5163405044465,43.7518865628673
-8842632.77807384,5409507.73697952,122,GO-20051139553,2005/09/16 04:00:00+00,2005,September,16,Friday,259,D14,Shooting,85,South Parkdale,85,South Parkdale (85),-79.4347217639915,43.6374542220521
-8855394.25447601,5423335.14896848,123,GO-20051156513,2005/09/16 04:00:00+00,2005,September,16,Friday,259,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.5493600567631,43.7272830637784
